[2018-12-03 10:14:58] main.ERROR: Error: Application is not installed yet.  [] []
[2018-12-03 10:18:04] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://local.magentecna.fr/setup/index.php/install/start","invalidateInfo":{"tags":["EAV"],"mode":"matchingAnyTag"}} []
[2018-12-03 10:18:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://local.magentecna.fr/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-12-03 10:18:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://local.magentecna.fr/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-12-03 10:18:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://local.magentecna.fr/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-12-03 10:18:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://local.magentecna.fr/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-12-03 10:18:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://local.magentecna.fr/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE_21","FPC"],"mode":"matchingTag"}} []
[2018-12-03 10:18:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://local.magentecna.fr/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-12-03 10:18:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://local.magentecna.fr/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-12-03 10:18:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://local.magentecna.fr/setup/index.php/install/start","invalidateInfo":{"tags":["EAV","EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
[2018-12-03 10:18:05] main.DEBUG: cache_invalidate:  {"method":"POST","url":"http://local.magentecna.fr/setup/index.php/install/start","invalidateInfo":{"tags":["EAV_ATTRIBUTE"],"mode":"matchingAnyTag"}} []
